State,Electoral Votes,Hillary Clinton,Donald Trump,Gary Johnson,Jill Stein,Evan McMullin,Others,Total
AL,9,729547,1318255,44467,9391,–,21712,2123372
AK,3,116454,163387,18725,5735,–,14307,318608
AZ,11,1161167,1252401,106327,34345,17449,1476,2573165
AR,6,380494,684872,29829,9473,13255,12712,1130635
CA,55,8753788,4483810,478500,278657,39596,147244,14181595
CO,9,1338870,1202484,144121,38437,28917,27418,2780247
CT,7,897572,673215,48676,22841,2108,508,1644920
DE,3,235603,185127,14757,6103,706,1518,443814
DC,3,282830,12723,4906,4258,–,6551,311268
FL,29,4504975,4617886,207043,64399,–,25736,9420039
GA,16,1877963,2089104,125306,7674,13017,1668,4114732
HI,3,266891,128847,15954,12737,–,4508,428937
ID,4,189765,409055,28331,8496,46476,8132,690255
IL,20,3090729,2146015,209596,76802,11655,1627,5536424
IN,11,1033126,1557286,133993,7841,–,2712,2734958
IA,6,653669,800983,59186,11479,12366,28348,1566031
KS,6,427005,671018,55406,23506,6520,947,1184402
KY,8,628854,1202971,53752,13913,22780,1879,1924149
LA,8,780154,1178638,37978,14031,8547,9684,2029032
ME,2,357735,335593,38105,14251,1887,356,747927
MD,10,1677928,943169,79605,35945,9630,35169,2781446
MA,11,1995196,1090893,138018,47661,2719,50559,3325046
MI,16,2268839,2279543,172136,51463,8177,19126,4799284
MN,10,1367716,1322951,112972,36985,53076,51113,2944813
MS,6,485131,700714,14435,3731,–,5346,1209357
MO,10,1071068,1594511,97359,25419,7071,13177,2808605
MT,3,177709,279240,28037,7970,2297,1894,497147
NE,2,284494,495961,38946,8775,–,16051,844227
NV,6,539260,512058,37384,–,–,36683,1125385
NH,4,348526,345790,30777,6496,1064,11643,744296
NJ,14,2148278,1601933,72477,37772,–,13586,3874046
NM,5,385234,319667,74541,9879,5825,3173,798319
NY,29,4556124,2819534,176598,107934,10373,50890,7721453
NC,15,2189316,2362631,130126,12105,–,47386,4741564
ND,3,93758,216794,21434,3780,–,8594,344360
OH,18,2394164,2841005,174498,46271,12574,27975,5496487
OK,7,420375,949136,83481,–,–,N/A,1452992
OR,7,1002106,782403,94231,50002,–,72594,2001336
PA,20,2926441,2970733,146715,49941,6472,65176,6165478
RI,4,252525,180543,14746,6220,516,9594,464144
SC,9,855373,1155389,49204,13034,21016,9011,2103027
SD,3,117458,227721,20850,–,–,4064,370093
TN,11,870695,1522925,70397,15993,11991,16026,2508027
TX,36,3877868,4685047,283492,71558,42366,8895,8969226
UT,6,310676,515231,39608,9438,243690,12787,1131430
VT,3,178573,95369,10078,6758,639,23650,315067
VA,13,1981473,1769443,118274,27638,54054,33749,3984631
WA,8,1742718,1221747,160879,58417,–,133258,3317019
WV,5,188794,489371,23004,8075,1104,4075,714423
WI,10,1382536,1405284,106674,31072,11855,38729,2976150
WY,3,55973,174419,13287,2515,–,9655,255849
